Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw,desired x,desired y,desired z,desired yaw
"0.55 sec",0.06041434,-0.08229468,2.776444,0.08633152,0.142792209982872,0.032675489783287,-7.00309371948242,0.1510168,-0.147282,0.0891356,0.5014947,0.1069528,-7.006845,0.1941825
"0.56 sec",0.06034328,-0.08234674,2.776445,0.08460319,0.148314028978348,0.0331617146730423,-7.00208759307861,0.1518809,-0.139531,0.09042703,0.5014947,0.1069528,-7.006845,0.1941825
"0.57 sec",0.06797657,-0.03341072,2.769939,0.08291695,0.154006436467171,0.0338001064956188,-7.00146961212158,0.1527241,-0.1259412,0.08496779,0.5014947,0.1069528,-7.006845,0.1941825
"0.58 sec",0.06428134,0.06927919,2.561054,0.0812676,0.159851834177971,0.0345811359584332,-7.0012412071228,0.1535487,-0.1074922,0.07936097,0.5014947,0.1069528,-7.006845,0.1941825
"0.59 sec",0.03792004,0.08401882,2.255015,0.07965493,0.165820881724358,0.03548863530159,-7.00135564804077,0.1543551,-0.07531576,0.07498017,0.5014947,0.1069528,-7.006845,0.1941825
"0.6 sec",0.08049902,-0.1108121,2.073002,0.1115136,0.171865850687027,0.0364993698894978,-7.00168991088867,0.1551394,-0.03533209,0.06848157,0.5553091,0.1185867,-7.006937,0.2108962
"0.61 sec",0.08701127,-0.1201394,1.915321,0.1093249,0.177940264344215,0.0375903211534023,-7.00212383270264,0.1562338,-0.02225255,0.06546459,0.5553091,0.1185867,-7.006937,0.2108962
"0.62 sec",0.09007079,-0.1246955,1.84765,0.1071402,0.184028461575508,0.0387500748038292,-7.00257396697998,0.1573261,-0.03656564,0.06821726,0.5553091,0.1185867,-7.006937,0.2108962
"0.63 sec",0.09018674,-0.1251399,1.842568,0.1050056,0.190140873193741,0.0399788022041321,-7.00298118591309,0.1583934,-0.05788118,0.07309189,0.5553091,0.1185867,-7.006937,0.2108962
"0.64 sec",0.08874437,-0.1233905,1.86973,0.1029131,0.196295067667961,0.0412824228405952,-7.00332641601562,0.1594397,-0.07762503,0.07793092,0.5553091,0.1185867,-7.006937,0.2108962
"0.65 sec",0.05687798,-0.1162037,1.901417,0.1008587,0.202508300542831,0.0426686108112335,-7.00361299514771,0.1604669,-0.09285351,0.0816569,0.5553091,0.1185867,-7.006937,0.2108962
"0.66 sec",-0.01496195,-0.1026336,1.932092,0.09883881,0.20879490673542,0.0441441126167774,-7.00385332107544,0.1614768,-0.1027245,0.0804847,0.5553091,0.1185867,-7.006937,0.2108962
"0.67 sec",-0.05318331,0.06799272,1.956077,0.09685501,0.215165495872498,0.0457102470099926,-7.00406312942505,0.1624687,-0.1068466,0.06713658,0.5553091,0.1185867,-7.006937,0.2108962
"0.68 sec",-0.08317593,0.1165524,1.983602,0.09496295,0.221625611186028,0.0473561398684978,-7.00425577163696,0.1634147,-0.08742648,0.04250802,0.5553091,0.1185867,-7.006937,0.2108962
"0.69 sec",-0.08330881,0.1169604,1.977994,0.09318843,0.228161886334419,0.0490564964711666,-7.00444746017456,0.164302,-0.04535008,0.01271634,0.5553091,0.1185867,-7.006937,0.2108962
"0.7 sec",0.05924498,-0.08313955,2.776444,0.1031079,0.234740227460861,0.050776794552803,-7.00464725494385,0.1651695,-0.0005594313,-0.0152538,0.6172032,0.1349881,-7.025263,0.2167234
"0.71 sec",0.05916084,-0.08319937,2.776445,0.1010823,0.241323187947273,0.0524808242917061,-7.00504446029663,0.1661823,0.01305159,-0.0206381,0.6172032,0.1349881,-7.025263,0.2167234
"0.72 sec",0.05907757,-0.08325846,2.776445,0.09907889,0.24789571762085,0.0541561990976334,-7.00584840774536,0.167184,-0.001511735,-0.006723986,0.6172032,0.1349881,-7.025263,0.2167234
"0.73 sec",0.05899656,-0.08331582,2.776445,0.09713134,0.254472404718399,0.0558231435716152,-7.0070595741272,0.1681578,-0.02201984,0.01045919,0.6172032,0.1349881,-7.025263,0.2167234
"0.74 sec",0.0938335,-0.1332591,1.744844,0.09521532,0.26107656955719,0.0575091801583767,-7.00867700576782,0.1691158,-0.04038386,0.02529093,0.6172032,0.1349881,-7.025263,0.2167234
"0.75 sec",0.04487707,-0.1804887,1.182378,0.09333965,0.267720252275467,0.0592301562428474,-7.01045560836792,0.1700536,-0.06031246,0.04054689,0.6172032,0.1349881,-7.025263,0.2167234
"0.76 sec",-0.06961735,-0.161059,1.180094,0.0914965,0.274402260780334,0.0609870031476021,-7.01199054718018,0.1709752,-0.0862743,0.05000355,0.6172032,0.1349881,-7.025263,0.2167234
"0.77 sec",-0.131513,0.09365065,1.177281,0.08964062,0.281129390001297,0.0627804771065712,-7.01313257217407,0.1719031,-0.110499,0.03859702,0.6172032,0.1349881,-7.025263,0.2167234
"0.78 sec",-0.1364155,0.1965734,1.195928,0.08788484,0.28791481256485,0.0646061301231384,-7.01387882232666,0.172781,-0.09824537,0.006694426,0.6172032,0.1349881,-7.025263,0.2167234
"0.79 sec",-0.1115037,0.1602619,1.459989,0.08632472,0.294754862785339,0.0664450451731682,-7.01423454284668,0.1735611,-0.04494219,-0.03071985,0.6172032,0.1349881,-7.025263,0.2167234
"0.8 sec",0.0584816,-0.08367766,2.776445,0.09833959,0.301626145839691,0.0682685747742653,-7.01426887512207,0.1743324,0.01462013,-0.06004249,0.6831015,0.1549778,-7.041701,0.2235022
"0.81 sec",0.05840097,-0.08373388,2.776445,0.09641102,0.30849227309227,0.0700286254286766,-7.01436233520508,0.1752967,0.03321676,-0.05941262,0.6831015,0.1549778,-7.041701,0.2235022
"0.82 sec",0.05832187,-0.08378893,2.776444,0.09452003,0.315330862998962,0.0717026069760323,-7.01485967636108,0.1762422,0.01615771,-0.03620282,0.6831015,0.1549778,-7.041701,0.2235022
"0.83 sec",0.05824541,-0.08384204,2.776445,0.09269321,0.322156965732574,0.0733235478401184,-7.01576328277588,0.1771556,-0.008687249,-0.010521,0.6831015,0.1549778,-7.041701,0.2235022
