Time,desired yaw,desired x,desired y,desired z,WorldPosition_1,WorldPosition_2,WorldPosition_3,WorldVelocity_1,WorldVelocity_2,WorldVelocity_3,EulerZYX_1,EulerZYX_2,EulerZYX_3,BodyAngularRateRPY_1,BodyAngularRateRPY_2,BodyAngularRateRPY_3,Thrust,Roll CS,Pitch CS,Yaw CS,Thrust CS
"0.33 sec",0.6214004,0.3501751,0.2618698,-7.074307,0.04379201,0.04478273,-7.01479,0.2998973,0.2798377,-0.1148245,0.1644166,-0.06059971,-0.03829734,-1.753676,0.2098303,0.507259,13.88066,-0.0829486,-0.05951234,0.5,13.88222
"0.34 sec",0.6214004,0.3501751,0.2618698,-7.074307,0.04683701,0.04755802,-7.01614,0.3091327,0.2748768,-0.1551489,0.1694154,-0.0591676,-0.0534485,-1.232693,0.05119562,0.5025214,13.88118,-0.09545508,-0.06782697,0.5,12.11087
"0.35 sec",0.6214004,0.3501751,0.2618698,-7.074307,0.04996979,0.05027835,-7.017809,0.3174518,0.2689793,-0.1781821,0.1744156,-0.0597201,-0.0653844,-1.061563,-0.1753507,0.4887758,12.11174,-0.1840839,-0.1307779,0.5,6.328249
"0.36 sec",0.6214004,0.3501751,0.2618698,-7.074307,0.0531684,0.05294872,-7.01943,0.3223075,0.2649833,-0.1445401,0.1794249,-0.06876191,-0.08531336,-2.477083,-1.414264,0.3814387,6.328547,-0.1956403,-0.1377592,0.5,5.979641
"0.37 sec",0.6214004,0.3501751,0.2618698,-7.074307,0.05641819,0.05557481,-7.020682,0.3278476,0.260008,-0.1058586,0.1844467,-0.08443271,-0.1122131,-2.642994,-1.668566,0.3156467,5.980291,-0.1963274,-0.1367716,0.5,5.979641
"0.38 sec",0.6214004,0.3501751,0.2618698,-7.074307,0.05972946,0.05814438,-7.021546,0.334601,0.2536982,-0.06683391,0.1894667,-0.09953925,-0.137032,-2.177835,-1.419797,0.3080981,5.98158,-0.1970094,-0.1357806,0.5,5.979641
"0.39 sec",0.6214004,0.3501751,0.2618698,-7.074307,0.06311371,0.06064507,-7.022018,0.3424032,0.2462789,-0.02755212,0.1944793,-0.1113388,-0.1564775,-1.605713,-1.06556,0.3358624,5.980107,-0.1693282,-0.06485968,0.5,6.536088
"0.4 sec",0.632529,0.3802131,0.2929529,-7.072934,0.06658337,0.06306376,-7.022122,0.3515734,0.2373346,0.00660012,0.1994807,-0.1114871,-0.1672502,-0.5742007,0.5609447,0.5984038,6.53555,0.1280556,-0.1952538,0.5,6.123517
"0.41 sec",0.632529,0.3802131,0.2929529,-7.072934,0.07014214,0.06539525,-7.021867,0.3601775,0.2293192,0.04450025,0.2044675,-0.1176386,-0.1363756,5.519718,-1.502808,0.2911755,6.124088,0.08359466,-0.1279805,0.5,9.295189
"0.42 sec",0.632529,0.3802131,0.2929529,-7.072934,0.07380872,0.06764734,-7.021382,0.3732254,0.2219077,0.05170354,0.2094395,-0.1270251,-0.08027704,5.510965,-0.5866485,0.4487583,9.291733,0.06947514,-0.1073609,0.5,11.09542
"0.43 sec",0.632529,0.3802131,0.2929529,-7.072934,0.07761677,0.06984719,-7.020919,0.3882811,0.2189197,0.04039381,0.2144359,-0.1278816,-0.032437,4.174216,0.2167885,0.5036559,11.09454,0.06534161,-0.1020484,0.5,11.70532
"0.44 sec",0.632529,0.3802131,0.2929529,-7.072934,0.0815741,0.07204087,-7.020603,0.4029797,0.2204631,0.02254116,0.2194429,-0.1236343,0.001887074,2.874438,0.5365595,0.495935,11.70468,0.06554305,-0.1035052,0.5,11.57829
"0.45 sec",0.632529,0.3802131,0.2929529,-7.072934,0.08567126,0.07426681,-7.020463,0.416246,0.225146,0.00568669,0.2244492,-0.1183428,0.02499906,1.922528,0.5129281,0.4843109,11.57926,0.06767429,-0.10809,0.5,11.12567
"0.46 sec",0.632529,0.3802131,0.2929529,-7.072934,0.0898932,0.07654947,-7.020468,0.4279884,0.2316508,-0.006773021,0.2294525,-0.1143826,0.04037154,1.30141,0.3268362,0.4841322,11.12609,0.07150766,-0.1083399,0.5,10.62649
"0.47 sec",0.632529,0.3802131,0.2929529,-7.072934,0.09422634,0.07890268,-7.020574,0.4385361,0.2391641,-0.01427424,0.2344538,-0.1119844,0.05094425,0.9369362,0.2083825,0.48697,10.62692,0.1029179,0.008118779,0.5,10.19893
"0.48 sec",0.632529,0.3802131,0.2929529,-7.072934,0.09865908,0.08133426,-7.020734,0.4476972,0.2472733,-0.01753582,0.2394615,-0.09699354,0.06192929,1.244059,2.346603,0.3544319,10.19936,0.1209506,0.07390859,0.5,10.01729
"0.49 sec",0.632529,0.3802131,0.2929529,-7.072934,0.1031705,0.08384964,-7.020917,0.4539801,0.2558934,-0.01907954,0.2444832,-0.06416774,0.07551491,1.438594,3.807994,0.2149511,10.02131,0.1229012,0.07426579,0.5,9.889036
"0.5 sec",0.6266645,0.4238002,0.3152972,-7.060116,0.1077253,0.08645317,-7.02111,0.4563219,0.2648762,-0.01946039,0.2495087,-0.02697213,0.08893676,1.249571,3.534888,0.1888376,9.890044,0.1210562,-0.2063099,0.5,5.979641
"0.51 sec",0.6266645,0.4238002,0.3152972,-7.060116,0.1122881,0.08913131,-7.021121,0.4562229,0.2707721,0.01812816,0.2545106,-0.02832094,0.09958475,0.9093034,-2.531239,0.7540773,5.981637,0.1200301,-0.2069029,0.5,5.979641
"0.52 sec",0.6266645,0.4238002,0.3152972,-7.060116,0.1168537,0.0918715,-7.020747,0.4572299,0.2774256,0.05681469,0.2594979,-0.06360328,0.1069071,0.6185263,-3.92021,0.9213877,5.981117,0.1190041,-0.207489,0.5,5.979641
"0.53 sec",0.6266645,0.4238002,0.3152972,-7.060116,0.1214397,0.09468297,-7.019984,0.4603222,0.2850157,0.09568629,0.2644891,-0.1026666,0.1115278,0.4073415,-3.584588,0.9013218,5.980717,0.09329274,-0.1638011,0.5,7.555057
"0.54 sec",0.6266645,0.4238002,0.3152972,-7.060116,0.1260725,0.09758449,-7.018906,0.4665787,0.2954314,0.1196302,0.2694893,-0.1302252,0.1113415,-0.2058443,-1.944653,0.7166152,7.554207,0.05570573,-0.09848264,0.5,12.53065
"0.55 sec",0.6266645,0.4238002,0.3152972,-7.060116,0.1307993,0.1006253,-7.017824,0.4790675,0.3127942,0.09555823,0.2744921,-0.1377458,0.1033311,-1.052524,0.1877427,0.4784064,12.53036,0.04983288,-0.08909164,0.5,13.88222
"0.56 sec",0.6266645,0.4238002,0.3152972,-7.060116,0.1356611,0.1038446,-7.017059,0.4932596,0.3307995,0.05709456,0.279488,-0.1312925,0.0908573,-1.208436,1.000308,0.4059629,13.88139,0.04938777,-0.0893387,0.5,13.88222
"0.57 sec",0.6266645,0.4238002,0.3152972,-7.060116,0.1406618,0.1072348,-7.016683,0.5067147,0.346929,0.01797163,0.2844813,-0.1210329,0.07894302,-1.019608,1.058869,0.4135183,13.87977,0.007855522,0.01984583,0.5,13.43563
"0.58 sec",0.6266645,0.4238002,0.3152972,-7.060116,0.1457888,0.1107741,-7.01668,0.5182829,0.3604597,-0.01721074,0.2894649,-0.09889615,0.06468344,-1.542918,2.943044,0.3055446,13.43608,-0.0559901,0.1037817,0.5,12.0255
"0.59 sec",0.6266645,0.4238002,0.3152972,-7.060116,0.1510119,0.1144273,-7.016963,0.5256563,0.3694887,-0.03915152,0.2944184,-0.05897955,0.04183535,-2.616893,4.550232,0.302926,12.02648,-0.06215556,0.1166697,0.5,10.73464
"0.6 sec",0.6673648,0.4613283,0.3585115,-7.071883,0.1562858,0.118146,-7.017403,0.5284681,0.3735456,-0.0486028,0.2993549,-0.01318126,0.01505602,-2.568742,4.40383,0.4277897,10.73571,0.04760568,-0.09029908,0.5,13.88222
"0.61 sec",0.6673648,0.4613283,0.3585115,-7.071883,0.1615711,0.1218884,-7.018085,0.5283355,0.3746037,-0.08851275,0.3043381,0.002397744,0.00451379,0.02105117,-0.4377445,0.5019809,13.87952,0.04715573,-0.0905344,0.5,13.88222
"0.62 sec",0.6673648,0.4613283,0.3585115,-7.071883,0.1668538,0.1256382,-7.019173,0.528474,0.3755813,-0.1292297,0.3093345,-0.01088649,0.009584012,0.8162559,-1.863814,0.5171143,13.88154,0.04670341,-0.09076808,0.5,13.88222
"0.63 sec",0.6673648,0.4613283,0.3585115,-7.071883,0.1721474,0.129406,-7.020669,0.5306143,0.3783045,-0.169906,0.3143258,-0.03063133,0.01839861,0.9033875,-1.944345,0.5347437,13.88148,0.06254019,-0.1232648,0.5,10.26937
"0.64 sec",0.6673648,0.4613283,0.3585115,-7.071883,0.1774687,0.1332058,-7.022399,0.5339158,0.3819251,-0.1753065,0.3193149,-0.05233836,0.02846095,1.065238,-2.201101,0.5610211,10.27271,0.09985545,-0.2005039,0.5,6.375134
"0.65 sec",0.6673648,0.4613283,0.3585115,-7.071883,0.1828234,0.1370415,-7.02399,0.5372514,0.3854232,-0.141773,0.3242945,-0.08198181,0.04253358,1.631299,-3.308816,0.6369596,6.37709,0.1220387,-0.1684622,0.5,5.93759
"0.66 sec",0.6673648,0.4613283,0.3585115,-7.071883,0.1882173,0.1409182,-7.025213,0.5417234,0.3901632,-0.1028005,0.3292684,-0.110681,0.06063352,1.929659,-2.387774,0.6405002,5.938257,0.2062942,0.08201722,0.5,5.955881
"0.67 sec",0.6673648,0.4613283,0.3585115,-7.071883,0.1936594,0.1448499,-7.026046,0.5465093,0.3964229,-0.06372978,0.3342802,-0.1018017,0.08805645,3.254549,3.120228,0.2286115,5.952224,0.1601806,0.09893481,0.5,6.923257
"0.68 sec",0.6673648,0.4613283,0.3585115,-7.071883,0.1991423,0.1488559,-7.026534,0.5495285,0.4049326,-0.03401363,0.3393335,-0.06124176,0.1143654,2.152584,4.550766,-0.01541425,6.920356,-0.01720033,0.1335998,0.5,8.342821
"0.69 sec",0.6673648,0.4613283,0.3585115,-7.071883,0.204639,0.1529569,-7.026793,0.549207,0.4150239,-0.01835313,0.3443292,-0.01331736,0.1109628,-1.984756,4.779288,-0.03411417,8.341976,-0.06361453,0.1353466,0.5,9.496953
"0.7 sec",0.7280505,0.4992752,0.4149141,-7.088103,0.2101139,0.157152,-7.026956,0.5452702,0.4233156,-0.01446902,0.3492608,0.03057048,0.07959493,-3.782566,3.964095,0.1775213,9.495868,0.04304838,-0.09255373,0.5,13.88222
"0.71 sec",0.7280505,0.4992752,0.4149141,-7.088103,0.2155262,0.1614206,-7.027291,0.5371765,0.4298777,-0.05366811,0.3542415,0.03825229,0.05433409,-1.588851,-1.386978,0.5768521,13.88024,0.04258753,-0.0927662,0.5,13.88222
"0.72 sec",0.7280505,0.4992752,0.4149141,-7.088103,0.2208652,0.1657443,-7.02803,0.5312153,0.4348323,-0.09416962,0.3592529,0.01511171,0.04417272,-0.6021662,-2.789851,0.6246341,13.88175,0.04212277,-0.09297767,0.5,13.88222
"0.73 sec",0.7280505,0.4992752,0.4149141,-7.088103,0.2261633,0.170119,-7.029175,0.5290384,0.4402473,-0.1347646,0.3642585,-0.01317501,0.04056747,-0.1784361,-2.683588,0.6095811,13.88114,0.04165751,-0.09318658,0.5,13.88222
"0.74 sec",0.7280505,0.4992752,0.4149141,-7.088103,0.2314578,0.1745528,-7.030725,0.5303962,0.4467121,-0.1753261,0.36926,-0.03759112,0.0396186,-0.01019054,-2.126854,0.5844047,13.88138,0.06227525,-0.1415655,0.5,9.185656
"0.75 sec",0.7280505,0.4992752,0.4149141,-7.088103,0.2367748,0.1790452,-7.032458,0.5332925,0.4518825,-0.1700949,0.3742575,-0.06169035,0.04205538,0.4476953,-2.45157,0.6021742,9.187784,0.1136397,-0.1739903,0.5,5.937362
"0.76 sec",0.7280505,0.4992752,0.4149141,-7.088103,0.2421226,0.1835846,-7.033973,0.5364415,0.4561365,-0.1319659,0.3792439,-0.08859309,0.05267846,1.494201,-2.681262,0.6381704,5.940558,0.205841,0.05987499,0.5,5.945953
"0.77 sec",0.7280505,0.4992752,0.4149141,-7.088103,0.2475057,0.1881726,-7.035098,0.5400538,0.4616957,-0.09295171,0.3842477,-0.08647325,0.07860038,3.289892,2.213863,0.3286427,5.944377,0.2194873,0.0947616,0.5,5.979641
"0.78 sec",0.7280505,0.4992752,0.4149141,-7.088103,0.2529173,0.192823,-7.035833,0.5418234,0.4685864,-0.05420845,0.3893045,-0.05325597,0.113149,3.462561,3.970871,0.05819192,5.978948,-0.02778369,0.1688143,0.5,6.90427
"0.79 sec",0.7280505,0.4992752,0.4149141,-7.088103,0.2583321,0.1975513,-7.036225,0.5406142,0.4769182,-0.02439074,0.3943142,-0.005432437,0.1159812,-1.861295,5.156446,-0.1019287,6.901116,-0.06350407,0.1548409,0.5,8.494693
"0.8 sec",0.6748299,0.5652487,0.44363,-7.104674,0.2637166,0.2023602,-7.036397,0.5358096,0.4842266,-0.01036402,0.3992413,0.04192669,0.08475386,-3.85177,4.272566,0.1300118,8.493873,0.03837768,-0.09458122,0.5,13.88222
"0.81 sec",0.6748299,0.5652487,0.44363,-7.104674,0.269024,0.2072356,-7.036688,0.5256797,0.4902966,-0.04919178,0.4042205,0.04977532,0.05799186,-1.796261,-1.566451,0.5924943,13.88195,0.03790697,-0.09477039,0.5,13.88222
"0.82 sec",0.6748299,0.5652487,0.44363,-7.104674,0.2742393,0.2121608,-7.037382,0.5180221,0.4947143,-0.08962782,0.4092359,0.02404807,0.04573207,-0.8123577,-3.087125,0.6429605,13.88044,0.0374319,-0.09495856,0.5,13.88222
"0.83 sec",0.6748299,0.5652487,0.44363,-7.104674,0.2793988,0.2171319,-7.038481,0.514598,0.499675,-0.1302133,0.414245,-0.007172789,0.04024662,-0.3487118,-2.959766,0.6201503,13.88037,0.0369565,-0.09514411,0.5,13.88222
"0.84 sec",0.6748299,0.5652487,0.44363,-7.104674,0.2845443,0.2221582,-7.039986,0.5150937,0.5057977,-0.1707952,0.4192487,-0.0340546,0.03784966,-0.1347365,-2.342704,0.5889972,13.88125,-0.06607288,-0.08987471,0.5,9.201429
"0.85 sec",0.6748299,0.5652487,0.44363,-7.104674,0.2897062,0.2272393,-7.041675,0.5176097,0.5102919,-0.1657647,0.4242606,-0.05372451,0.02486238,-1.987779,-1.592323,0.5407098,9.201841,-0.2230952,-0.0857951,0.5,5.979641
"0.86 sec",0.6748299,0.5652487,0.44363,-7.104674,0.2948968,0.2323536,-7.043148,0.5207553,0.512228,-0.1281698,0.4292856,-0.06635484,-0.01528766,-5.148782,-0.9775909,0.4866446,5.980351,-0.2235229,-0.08465811,0.4910887,5.979641
"0.87 sec",0.6748299,0.5652487,0.44363,-7.104674,0.3001272,0.2374756,-7.044237,0.5256227,0.5117115,-0.08965842,0.4342221,-0.07380939,-0.06847776,-5.126199,-0.5908326,0.4519269,5.980133,-0.2239376,-0.08353882,0.4812156,5.979641
"0.88 sec",0.6748299,0.5652487,0.44363,-7.104674,0.3054145,0.2425792,-7.04494,0.5320683,0.508606,-0.05091964,0.43905,-0.07797945,-0.1154024,-4.116668,-0.3556398,0.4424261,5.980496,-0.1663435,-0.01477028,0.4715598,6.959827
"0.89 sec",0.6748299,0.5652487,0.44363,-7.104674,0.3107778,0.2476369,-7.045301,0.540701,0.5026017,-0.02136328,0.4437642,-0.0722543,-0.144507,-1.8966,1.057583,0.628021,6.956602,-0.05539698,0.1565937,0.4621314,8.557186
"0.9 sec",0.6837173,0.6166232,0.4973823,-7.105879,0.3162358,0.2526183,-7.045443,0.5505382,0.4934501,-0.007354402,0.448392,-0.03925332,-0.1448562,1.270623,4.493922,1.124921,8.556364,0.03940471,-0.1127624,0.4706505,11.87039
"0.91 sec",0.6837173,0.6166232,0.4973823,-7.105879,0.3217914,0.257488,-7.045605,0.5601163,0.4807752,-0.02602835,0.4531153,-0.0221336,-0.1163778,3.803246,-0.3848095,0.4284,11.86616,0.04240268,-0.1232643,0.4612039,10.88274
"0.92 sec",0.6837173,0.6166232,0.4973823,-7.105879,0.3274296,0.2622511,-7.045918,0.5674358,0.4726392,-0.03644858,0.4577062,-0.03582774,-0.07673677,3.910449,-2.036989,0.3016988,10.88517,0.0449738,-0.1327751,0.4520221,10.12435
"0.93 sec",0.6837173,0.6166232,0.4973823,-7.105879,0.333138,0.266958,-7.046299,0.5743046,0.4694526,-0.03949603,0.4621899,-0.05837812,-0.04085556,3.239224,-2.332915,0.3524127,10.1255,0.04629235,-0.1387487,0.4430548,9.706343
"0.94 sec",0.6837173,0.6166232,0.4973823,-7.105879,0.3389164,0.2716534,-7.046688,0.5814939,0.4702122,-0.0382922,0.4665924,-0.08070815,-0.01279664,2.43442,-2.076895,0.4124883,9.70677,0.0463529,-0.1410033,0.4342497,9.566165
"0.95 sec",0.6837173,0.6166232,0.4973823,-7.105879,0.3447697,0.276372,-7.047058,0.5892879,0.4739378,-0.03549564,0.4709196,-0.09932002,0.007461536,1.721313,-1.628002,0.4428513,9.567853,0.0455922,-0.1407273,0.4255952,9.598067
"0.96 sec",0.6837173,0.6166232,0.4973823,-7.105879,0.3507044,0.2811395,-7.047399,0.5977347,0.4798603,-0.03281322,0.4751699,-0.1132658,0.02125405,1.16021,-1.159437,0.4469434,9.589128,0.07552851,-0.07979037,0.4170946,9.665774
"0.97 sec",0.6837173,0.6166232,0.4973823,-7.105879,0.3567256,0.2859745,-7.047717,0.6064369,0.4873388,-0.03066709,0.4793433,-0.1159066,0.0337761,1.337327,0.3748167,0.4020696,9.665342,0.01148002,0.1090946,0.408748,9.813964
"0.98 sec",0.6837173,0.6166232,0.4973823,-7.105879,0.3628293,0.2908886,-7.04802,0.6138574,0.4953353,-0.03005693,0.483439,-0.0876996,0.03840156,-0.08083022,4.368299,0.2393988,9.812068,-0.04222851,0.1360721,0.4005565,9.962461
"0.99 sec",0.6837173,0.6166232,0.4973823,-7.105879,0.368991,0.2958745,-7.048326,0.6178126,0.5013129,-0.03127391,0.4874238,-0.03732337,0.02843807,-1.530266,5.273736,0.2462907,9.960739,-0.04160115,0.1359531,0.3925869,9.983159
