Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw
"2.597 sec",0.0170048,0.1465917,1.923672,0.09633577,2.21477723121643,2.83423161506653,-7.56628131866455,0.9013051,0.02019196,0.03298738
"2.598 sec",0.01701221,0.1465332,1.924414,0.09614432,2.21602010726929,2.83600807189941,-7.56648921966553,0.9014008,0.02479243,0.03267559
"2.599 sec",0.01701897,0.1464692,1.925227,0.09595323,2.21726274490356,2.83778429031372,-7.56669664382935,0.9014964,0.02927733,0.03234819
"2.6 sec",-0.01181055,-0.1013659,2.776445,0.1229535,2.21850490570068,2.83956074714661,-7.56690406799316,0.9015916,0.03364479,0.03200798
"2.601 sec",-0.01182171,-0.1013646,2.776444,0.1227329,2.21974658966064,2.84133720397949,-7.5671124458313,0.9017019,0.03748798,0.03161027
"2.602 sec",-0.0118339,-0.1013632,2.776445,0.1224921,2.22098779678345,2.8431134223938,-7.56732511520386,0.9018223,0.04046213,0.03111722
"2.603 sec",-0.01184621,-0.1013618,2.776445,0.1222486,2.22222805023193,2.84488940238953,-7.56754112243652,0.901944,0.04265342,0.03054081
"2.604 sec",-0.01185854,-0.1013603,2.776445,0.1220051,2.22346758842468,2.84666514396667,-7.56776189804077,0.9020658,0.04414103,0.02989196
"2.605 sec",-0.01187085,-0.1013589,2.776445,0.1217617,2.22470664978027,2.84844088554382,-7.56798601150513,0.9021875,0.04499769,0.02918062
"2.606 sec",-0.01188316,-0.1013575,2.776445,0.1215184,2.22594499588013,2.85021615028381,-7.56821489334106,0.9023092,0.04529013,0.02841586
"2.607 sec",-0.01189547,-0.101356,2.776445,0.1212751,2.22718238830566,2.85199117660522,-7.56844711303711,0.9024308,0.04507957,0.02760593
"2.608 sec",-0.01190777,-0.1013546,2.776444,0.1210319,2.22841930389404,2.85376620292664,-7.56868362426758,0.9025524,0.04442208,0.02675834
"2.609 sec",-0.01192007,-0.1013531,2.776445,0.1207888,2.22965550422668,2.85554075241089,-7.56892442703247,0.902674,0.04336899,0.02587988
"2.61 sec",-0.01193235,-0.1013517,2.776444,0.120546,2.23089098930359,2.85731506347656,-7.56916904449463,0.9027954,0.04196725,0.0249767
"2.611 sec",-0.01194464,-0.1013503,2.776445,0.1203032,2.23212599754333,2.85908913612366,-7.56941795349121,0.9029168,0.04025978,0.02405436
"2.612 sec",-0.01195691,-0.1013488,2.776445,0.1200606,2.23336029052734,2.86086320877075,-7.56967067718506,0.9030381,0.03828572,0.02311787
"2.613 sec",-0.01196917,-0.1013474,2.776445,0.1198182,2.23459386825562,2.86263680458069,-7.56992769241333,0.9031593,0.03608079,0.02217173
"2.614 sec",-0.01198141,-0.1013459,2.776445,0.1195761,2.23582696914673,2.86441016197205,-7.57018852233887,0.9032803,0.03367748,0.02121998
"2.615 sec",-0.01199365,-0.1013445,2.776445,0.1193342,2.23705959320068,2.8661835193634,-7.57045364379883,0.9034013,0.03110536,0.02026624
"2.616 sec",-0.01200587,-0.1013431,2.776445,0.1190927,2.23829174041748,2.86795663833618,-7.57072305679321,0.903522,0.0283913,0.01931372
"2.617 sec",-0.01201806,-0.1013416,2.776445,0.1188517,2.2395236492157,2.86972951889038,-7.57099580764771,0.9036425,0.02555963,0.01836531
